t 211Pb 211Bi 207Tl 207Pb
75.7 18 3 4 75
75.8 18 3 4 75
75.9 18 3 4 75
76.0 17 4 4 75
76.1 17 4 4 75
76.2 17 4 4 75
76.3 17 4 4 75
76.4 17 4 4 75
76.5 17 3 5 75
76.6 17 3 5 75
76.7 17 3 5 75
76.8 17 3 5 75
76.9 16 4 5 75
77.0 16 4 5 75
77.1 16 4 5 75
77.2 16 4 5 75
77.3 16 4 5 75
77.4 16 4 5 75
77.5 16 4 5 75
77.6 16 4 5 75
77.7 16 4 5 75
77.8 16 4 4 76
77.9 16 4 4 76
78.0 16 4 4 76
78.1 16 4 4 76
78.2 16 4 4 76
78.3 15 5 4 76
78.4 15 5 4 76
78.5 15 5 4 76
78.6 15 4 5 76
78.7 15 4 5 76
78.8 15 4 5 76
78.9 15 4 5 76
79.0 15 4 5 76
79.1 15 3 6 76
79.2 15 3 6 76
79.3 14 4 6 76
79.4 14 4 6 76
79.5 14 3 7 76
79.6 14 3 7 76
79.7 14 3 7 76
79.8 14 3 7 76
79.9 14 3 7 76
80.0 14 3 7 76
80.1 14 3 7 76
80.2 14 3 7 76
80.3 14 3 7 76
80.4 14 3 7 76
80.5 14 2 8 76
80.6 14 2 8 76
80.7 14 2 8 76
80.8 14 2 7 77
80.9 14 1 8 77
81.0 14 1 8 77
81.1 14 1 8 77
81.2 14 1 8 77
81.3 14 1 8 77
81.4 14 1 8 77
81.5 14 1 8 77
81.6 14 1 8 77
81.7 14 1 8 77
81.8 14 1 8 77
81.9 14 1 8 77
82.0 14 1 8 77
82.1 14 1 8 77
82.2 14 1 8 77
82.3 14 1 7 78
82.4 14 1 7 78
82.5 14 1 7 78
82.6 14 1 7 78
82.7 14 1 7 78
82.8 14 1 7 78
82.9 13 2 7 78
83.0 13 2 7 78
83.1 13 2 7 78
83.2 13 2 7 78
83.3 13 2 6 79
83.4 13 2 6 79
83.5 13 2 6 79
83.6 13 2 6 79
83.7 13 2 6 79
83.8 13 2 6 79
83.9 13 2 6 79
84.0 13 2 6 79
84.1 13 2 6 79
84.2 13 2 6 79
84.3 13 2 6 79
84.4 13 2 6 79
84.5 13 2 6 79
84.6 13 2 6 79
84.7 13 2 6 79
84.8 13 2 6 79
84.9 13 2 6 79
85.0 13 2 6 79
85.1 13 1 7 79
85.2 13 1 7 79
85.3 13 1 7 79
85.4 13 1 7 79
85.5 13 1 7 79
85.6 13 1 7 79
85.7 13 1 7 79
85.8 13 1 7 79
85.9 13 1 7 79
86.0 13 1 7 79
86.1 13 1 7 79
86.2 13 1 7 79
86.3 13 1 6 80
86.4 13 1 6 80
86.5 13 0 7 80
86.6 13 0 7 80
86.7 13 0 7 80
86.8 13 0 6 81
86.9 13 0 6 81
87.0 13 0 6 81
87.1 13 0 6 81
87.2 13 0 6 81
87.3 13 0 6 81
87.4 12 1 6 81
87.5 12 1 6 81
87.6 12 1 6 81
87.7 12 1 6 81
87.8 12 1 6 81
